date,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
20200403,0,0,0.80705,0.446233333,0.2041725,0.314366667,0.3556,0,0,0.342,0.2579,0,0.6808,0,0.4404,0.5098,0,0,0.204133333,0.2219,0.283772727,0,0,-0.030466667,0,0.7728,0,-0.1314,0,0.2093,0,0.202088889,0,0.231866667,0.4046625,0.3936,0,0.5921,0.5927,0,0.2732,0,0.504275,0.12888,0,0,0.387233333,0.4939,0.6249,0.5538,0
20200404,0,0.1543,0,0.237125,0.345733962,0.15835,0,0,0,0.125863636,0.324313333,0,0.6239,0,0.8516,0.556685714,0,0.290133333,0,0.4199,0.128642857,0,0,0,0.7644,0,0,0.18072,0,0,0,0.134866667,0.2225,0.5319,0.395193333,0.190633333,-0.819,0.22624,-0.0386,0,0.043566667,0,0.267175,0.1926,0.1027,0,0.32615,0.953933333,0.4926,0,0.8105
20200405,0,0,0.8832,0.21116,0.278304348,0.046866667,0.4019,0,0,0.260830769,0.470071429,0,-0.0292,0,0.8385,0.146642857,0,0.34,0.3771,0.6486,0.2058,0,0.18745,0.38135,0,0,0,0.098385714,0,0,0,0.1718,0,0,-0.0345875,0.209271429,-0.8225,0,0.242466667,0.765,-0.1027,0,-0.1926,0.552777778,0,0.9215,0,0.9133,0,0,0
20200406,0,0.492966667,-0.08985,0.4286,0.309958974,-0.025475,0.6369,0,0,0.152572727,0.606242857,0,0,0.3612,0.33765,0.626185714,0,0,0.3943,0.5792,0.16298,0,0,0,0,0.5147,0,0,0,0,0,0.531083333,0,0.0897,0.38623,0.05755,-0.818725,0.1826,0.4939,0,0.9202,0,0.2914,0.108581818,-0.335,0.642166667,0,0.197533333,-0.6486,0,0
20200407,0,0.7783,0,-0.2553,0.249727273,0.362966667,0,0,0,0.436466667,0.277654545,0,0,0.7545,0.36206,0.468655556,0,0.0979,0.122566667,-0.259433333,0.423716667,0,0,0,0.4767,0.4803,0,-0.002366667,0,0,0,0.365,-0.3054,0.42375,0.13072,0.1806,-0.1321,0.3612,0.23835,0.45535,0.5791,0,0,0.416272727,0.487,0,0.32035,0,0,0,0
20200408,0,0.9473,0,-0.5252,0.111490244,0.4654,0,0,0,0.459816667,0.281788889,0,0,0,0.09636,-0.055033333,0,0,0.39795,-0.0221,0.350533333,0,0,0,-0.077,0,0.8478,0.1468,0,0,0,0.2984625,0,-0.1368,0.26237,0.5714,-0.5859,-0.145633333,0.48595,0,-0.6369,0,0.18384,0.096676923,0,0,0.9524,-0.1042,0,0.0516,0
20200409,0,0,0,0.401366667,0.249561765,-0.4291,0,0,0,0.10918,0.1913,0,0,0,0.9274,0.31948,0,0.21585,-0.4588,0.24695,0.17585,0,0.5921,0,0,0,0,0.0184,0,0,0,-0.022883333,0.6369,-0.7777,0.038771429,-0.3103,-0.5859,0.042575,0.9764,0.7339,0,0,0.7373,0.3035625,0,0,0,0.4549,0,0,0
20200410,0,0,0,0.2295,0.28011087,0.190633333,0,0,0,0.204125,0.2951,0,0,0,-0.5423,-0.022766667,0,0,0.2553,0,0.0511,0,0.8176,0,0.7418,0,0,0.2503,0,0,0,-0.148,-0.1154,0.5719,0.195033333,-0.1806,-0.05542,0.3893,0.5634,0,0,0,-0.722,-0.048866667,0.8957,0.6809,0.425466667,0.551133333,0,0,0
20200411,0,0,0,0.9237,0.269177143,-0.3353,0,0,0,0.29084,0.187457143,0,0,0,0.339433333,0.11182,0,0.6852,0.565033333,0.127325,0.12198,0,0.7081,0,0.4153,0,0.6369,-0.065066667,0,0,0,0.2225,0.66605,0.8042,-0.135766667,0.2459,-0.28208,0.185866667,0.516,0,0,0.858,0.7815,0.333616667,0,0.37975,0.4404,0.47124,0,-0.5927,0
20200412,0,0,0,0.154233333,0.512294595,0,0,0,0,0.2748625,0.43612,0,0,0,0,0.171633333,0,0.8002,0.3587,-0.158866667,0.01894,0,0,0,0.4215,-0.432733333,0,0.060966667,0,0,0,0.3213,0,0.8008,0.182036364,-0.24355,-0.6124,-0.06445,-0.14985,0.36695,-0.5267,0,0.098666667,0.1978875,0,0.7345,0,0.65815,0,0,0
20200413,0,0,0,0.0405,0.502680645,0.89,0,0,0,0.059014286,0.5946,0,0,0,0,0.572777778,0,0.6124,0.1591,-0.172675,0.2631125,0,0,0,0.086,-0.131875,0,-0.048125,0,0,0,0.418,0,0.2202,0.138266667,0.03255,-0.6124,0,0.327975,0.5423,-0.5267,0,0.074,0.210644444,0,0.7345,0.69,0.695466667,0,0,0
20200414,0,0,0,0,0.222104348,0.4404,0,0,0,0.11655,0.473766667,0,0,0,-0.3071,0.294,0,0,-0.20115,0.691066667,0.457,0,0,0.08495,0,0,0,0.578566667,0,0.2006,0,0.8254,0,0.890133333,0.3057,0.306633333,-0.6486,0.04385,0,0,0.9131,0,0.7003,0.290946154,0,0.4421,0.8252,0.25465,0,-0.1909,0
20200415,0,0,0,-0.4455,0.23692069,0,0,0,0,0.50038,0.639175,0,0,0,0,0.484633333,0,0,0,0,0.328866667,0,0,0,0.8834,0,0,0.4199,0,0,0,0.8748,0,0,0.163466667,-0.0423,-0.11435,0.1814,-0.1909,0.7339,-0.4215,0,0.774,0.095042857,0.5423,0.886,0,0.0813,0,0.8828,0
20200416,0,0,0,0.443133333,0.216461702,0.40165,0.3818,0,0,0.491,-0.186516667,0,0.6562,0,0,0.36328,0,0.58085,0.8118,-0.4215,0.5032,0,0,0,0.836,0,0,0.8398,0,-0.2263,0,0.3715,0,0.93195,0.3612,0.231333333,-0.7305,-0.7264,0.7959,0,0.685766667,0,0.187,0.1895,0.6808,0,0.319133333,-0.22255,0,0,0
20200417,0,0.28935,0,0.5113,0.205527273,0.209933333,0,0,0,0.290016667,0.07472,0,0.7952,0,0.3205,0.3917,0,0,0.330233333,0.33215,0.114975,0,0,0.8934,0,0.4856,0,0.243,0,0,0,0.0771,0,0.60295,0.339066667,0.3648,-0.0258,0,-0.3392,0,0.93,0,0,0.197715385,0,0.4215,0,0.0729,0.01695,-0.7964,0
20200418,0,0.967,0,-0.152466667,0.306405128,0.15812,0,0,0,0.209218182,0.528578947,0,0.5035,0.08995,0.3167,0.61035,0,-0.01285,0.340977778,0.339611111,0.219524138,0,0,-0.4954,0.496133333,0.34535,-0.2023,0.243316667,0,0,0,0.364675,0,0.407942857,0.210161905,0.42975,0.066666667,0.1984375,0.187075,0.4766,0.43605,0,0.436766667,0.330154545,0.586133333,0.260633333,0.41125,0.367577778,-0.353466667,0,0.1779
20200419,0,0,0,0,0.441223232,0.3139,0.5097,0,-0.45405,0.084733333,0.279775,0,-0.0902,0.21985,0.702533333,0.352216667,0,0.4971,0.0329,0.476464286,-0.050808333,0,0.2325,0,0,0.20434,-0.1761,0.409125,0,0,0,0.556614286,-0.0516,0.348357143,0.223761111,0.18335,-0.2034,-0.053628571,0.47785,0.26665,0.280875,0,0.149825,0.27273125,0,-0.6122,0.0301,0.357166667,0.53505,0,0
20200420,0,0.46075,0.46035,0.339418182,0.317922222,0.283866667,0.04806,0,0,0.240233333,0.195246154,0,0.2425,0.7246,0.4215,0.494475,0,0,0.08185,0.427357143,0.492005882,0,0.69,-0.7912,0,0.7125,0,0.8971,0,0,0,0.304333333,0,0.4039,0.23403125,0.255290909,0.802,0.62574,0.206966667,0,0.067933333,0,0.4506,0.251304348,-0.2775,-0.093175,0.6688,0.122958333,0.4404,0.25,0
20200421,0,0,0,0.47098,0.346880769,-0.0286,0.4221,0,0,0.455028571,0.1627875,0,0,0.9062,-0.029166667,0.10668,0,0.2905,0.31364,-0.031,0.046865217,0,0,-0.106116667,0.0516,0.5747,0,0.211328571,0,-0.148,0,-0.14305,0.42655,0.9037,0.13116087,0.1867,-0.211833333,0.27002,0.336933333,0.7339,0.551575,0,0.26842,0.193483333,0.3522,0.062525,0.5461,0.129952632,0.296,0,0
20200422,0,0.9856,0,0.29144,0.350404348,0.39175,0.21825,0,0,0.270325,0.356835714,0,0,0.636,-0.1718,0.035891667,0,-0.089466667,0,0.4201,0.30755,0,0.7369,0,-0.39715,0,0,0.322433333,0,0,0.69,0.45069,-0.6892,0.3373,0.43282,0.2629375,0.085055556,0.117085714,0.8809,0.7199,0.37105,0.296,0.248016667,0.293588889,0,-0.034133333,0.5719,-0.025866667,0,0,0
20200423,0,0.687966667,-0.3637,0.45664,0.419358182,0.145057143,-0.20685,0,0,0.492964286,0.101422222,0,0.91,0.5481,-0.062,0.280777778,0.2986,0.0129,0.30206,0.10976,0.228708696,0,-0.4316,0,0.8777,0,0,0.328322222,0,0,0.7184,-0.0133,0.6591,0.2481,0.266296296,-0.087733333,0.04155,0,0.21522,-0.269833333,0.23668,0,0.25116,0.272135714,0.836,0.7081,0.633066667,0.135,0.7184,0,0
20200424,0,0,-0.4215,0.340428571,0.319919643,0.3574625,0,0,0,0.250254545,0.4113,0,0,0.7067,0.469533333,0.2988,0,0,-0.1224,0.09725,-0.024326087,0,0.8143,0.12635,0.63,0.3182,0,0.019475,0,0,0,0.181764286,0.4399,0.29025,0.17238,0.297963636,0.212,0.0086,0.49874,0.9556,0.508866667,0,-0.058733333,0.285171429,0.91,0.64135,0.4995,0.085528571,0,0,0.8225
20200425,0,0.8436,-0.01935,0.0593,0.238816393,0.3182,0.4215,0,0,-0.2307,0.245123529,0,0.65615,0,0.3602,0.076761538,0.6209,0.09625,0.77755,0.239777778,0.27331,0,0.8881,0.22395,0.4438,0.4877,0,0.359033333,0,0.4665,0,0.193214286,0,0.2265,0.305821429,0.304461538,0,0.050575,0.54415,0,0,0,0,0.392333333,0,-0.207725,0.566125,0.689416667,0,0.8478,0
20200426,0,0,0,0.532733333,0.27486747,0.1871,-0.1759,0,-0.7845,0.35379375,0.252645455,0,-0.005925,0,0.72175,0.3287875,0,0,0.2741,0.3449,0.163318519,0,0,-0.0958,0,0,0,0.51304,0,0,0,0.537338462,0,0.4405,0.219322581,0.28735,0.29185,-0.05756,0.4327,0.1823,0,0,0.4975,0.073675,0.10775,-0.1987,0,0.3473,-0.5093,0.347433333,0.3164
20200427,0,0.673033333,0,0.46334,0.254015217,0.2118,0.88848,0,0,0.18375,0.502266667,0,0.2483,0.7906,0.47245,0.20725625,0,0,-0.0114,0.31705,0.33605,0.8221,0,0.2919,-0.105666667,-0.3141,0,0.300266667,0,0,0,0.4896,0.1511,0.5203,0.225076471,0.2511,-0.1271,0.1525,0.204133333,0,0.0361,0,0.474925,0.279358824,0.8402,0.3869,0,0.26831,0,-0.6801,0
20200428,0,0,0,-0.003857143,0.21966,-0.11856,-0.141966667,0,0,0.240895238,0.363759091,0,0.0429,0.051466667,0.267275,0.210231034,0,0.364233333,-0.013081818,0.276877778,0.261324,0,0.430333333,0.178166667,0.926,0.8058,0,0.277908333,0,0,0,0.164236842,0,0.371942857,0.325980952,0.298805882,-0.230066667,-0.1930625,0.36652,0.576933333,0.15805,0,0.668933333,0.321355556,0,0.366958333,0.1591,0.10616,0.8264,0.7213,0.1531
20200429,0,0.4215,0,0.327675,0.332342105,0.18745,-0.083333333,0,0,0.17558,0.026210526,0,0.29536,0,0.645633333,0.228219231,0.7424,-0.003128571,0.128525,0.26565,0.269335,0,0.4215,0.300366667,0,0,0.62755,0.3294375,0,0,0.7345,0.448353333,-0.9357,0.31126,0.3454,0.3639375,-0.194057143,0.226915385,0.2794,0,0.43264,0,0.534475,0.306961905,0.383642857,0.3691,-0.213114286,0.165107692,0.356333333,0.509166667,0.66965
20200430,0,0,0.9022,0.2525875,0.244302727,0.108577778,0.037633333,0,0.6237,0.102836842,0.406126316,0,0.6284,0,0.3719,0.361447059,0,0.297466667,0.32548,0.4551625,0.140647222,0.1027,0.28125,0.420688889,-0.4019,0.31835,-0.1591,0.374658824,0,0.64005,-0.4939,0.43375,-0.6804,0.393554545,0.326995455,0.290864286,-0.038814286,-0.01645,0.418666667,0.76135,0.274466667,0,0.11435,0.358351351,0.40388,0.503908333,0.53145,0.102276667,0.532566667,0,0
20200501,0,0.12585,0.215057143,0.354230769,0.364661069,0.3245375,0.337672727,0,0.1897,0.245505,0.414604545,0,-0.20378,0.7835,0.60608,0.343403448,0,0.158625,0.5268,0.35475,0.228722222,0,0.1956,-0.10918,0.20585,-0.01036,0.4767,0.317147368,0,0.7935,0,0.33050625,0.8061,0.6236125,0.310756604,0.31168,0.05805,0.041366667,0.214254545,0.5037,0.108675,0.3612,0.50896,0.33711129,0.0149,0.07798,0.34895,0.174765,0,0.7351,0.4553
20200502,0,0.199425,0.894266667,0.252566667,0.314929323,0.659133333,0.498283333,0,-0.3062,0.197858333,0.38659434,0,0.4876,-0.08345,-0.036277778,0.232732143,0,0.417566667,0.134435714,0.368878571,0.236524444,0.1531,0.4448,0.329957143,0.6253,0.16855,0,0.5992,0.3724,0.6369,0,0.362557143,0.1863,0.1756,0.157813636,0.241604167,0,0.085625,0.327518182,0.398366667,0.3948,0,0.018125,0.342601887,0.028,-0.014933333,0.10062,0.279780952,0.076585714,0.8444,0
20200503,0,0.465575,0.7003,0.202816667,0.335327049,0.309288889,-0.06185,0,0,0.446940909,0.134215,0,0.304966667,0.26075,-0.2042,0.246873913,0.802,0,0,0.240975,0.127008571,0,0.3134,0.064,0.6046,-0.02184,0,0.41599,0.975,0,0,0.227316667,0.2701,0.3892125,0.28952619,0.14515,0.31495,-0.003028571,0.21468,-0.7734,0.213933333,0,0.53504,0.23175,0,0.24584,0.035214286,0.360771429,0.7351,0,0
20200504,0,-0.3182,0,0.486085714,0.263633333,0.591666667,0.271966667,0,-0.1806,0.311929032,0.3984,0,0.276666667,0,-0.09556,0.169206667,0,0.5327,0.1620625,0.46845,0.1501125,0,0.6415,0.13958,0,0.8802,0,0.330646154,0,0,0,0.318991667,0.519125,0.550775,0.267372,0.219219048,0.103214286,0.27564,0.2276,0.521433333,0.360333333,0,0.3779,0.392467273,0.375416667,0.356842857,-0.111075,0.079225806,-0.52695,0.7717,0
